Name,XPM,GPM,Kills,Deaths,Assists,last hit,winrate,Tower_Damage,Hero_Damage
9pasha,481.824 ,448.667 ,5.233 ,4.190 ,10.621 ,1011 ,63.50%,987 ,11818 
Abed,594.600 ,575.695 ,7.945 ,3.436 ,9.081 ,676 ,57.69%,2927 ,25568 
Ameame,591.680 ,593.048 ,7.327 ,3.504 ,9.257 ,413 ,64.41%,4081 ,21881 
ana,565.484 ,590.464 ,8.252 ,4.832 ,9.596 ,250 ,62.00%,3728 ,25805 
Archangel,603.200 ,624.800 ,7.981 ,4.019 ,8.583 ,566 ,53.71%,5087 ,22307 
ARMEL,593.360 ,589.733 ,8.955 ,4.121 ,9.025 ,513 ,57.31%,3259 ,23580 
BigDaddyN0tail,391.784 ,373.227 ,4.304 ,4.843 ,10.766 ,1672 ,62.26%,3132 ,19194 
Ceb,369.524 ,334.083 ,3.662 ,5.156 ,9.979 ,865 ,51.79%,1783 ,17215 
Chalice,482.160 ,435.278 ,5.083 ,4.802 ,11.847 ,424 ,63.21%,2024 ,16619 
Cr1t,325.115 ,283.024 ,3.129 ,5.385 ,11.110 ,1150 ,55.30%,434 ,10025 
DJ,418.660 ,372.510 ,4.800 ,4.643 ,11.797 ,1034 ,59.77%,517 ,11825 
Fade,348.337 ,278.912 ,2.986 ,5.426 ,13.514 ,430 ,49.07%,248 ,10035 
Faith,316.391 ,278.551 ,2.924 ,5.055 ,11.280 ,1611 ,59.09%,577 ,8817 
Faith_bian,429.317 ,397.638 ,4.355 ,4.734 ,11.580 ,643 ,56.45%,1208 ,13587 
Febby,376.721 ,340.184 ,4.045 ,5.494 ,11.825 ,815 ,50.43%,634 ,10546 
Fly,320.243 ,288.713 ,2.931 ,4.577 ,10.794 ,1675 ,61.61%,600 ,9506 
fy,349.265 ,317.273 ,3.534 ,4.775 ,11.542 ,1603 ,60.76%,616 ,12496 
Gabbi,557.067 ,565.911 ,7.716 ,3.911 ,8.958 ,405 ,55.31%,3697 ,21745 
Gh,369.961 ,329.091 ,3.028 ,6.355 ,14.621 ,462 ,65.80%,399 ,12100 
iceiceice,457.631 ,434.967 ,4.567 ,4.582 ,10.678 ,1408 ,63.42%,1790 ,16333 
JAbz,401.191 ,370.867 ,4.771 ,5.457 ,12.200 ,870 ,56.21%,1067 ,15813 
JerAx,339.849 ,291.085 ,3.363 ,5.432 ,12.374 ,967 ,60.29%,336 ,10582 
jianlai,482.186 ,449.432 ,5.817 ,4.909 ,9.900 ,849 ,54.77%,1106 ,17979 
kpii,449.904 ,416.120 ,4.000 ,4.166 ,11.075 ,1050 ,59.24%,760 ,11695 
Kuku,499.023 ,482.896 ,6.902 ,5.566 ,10.352 ,844 ,57.11%,1931 ,19908 
KuroKy,343.999 ,309.807 ,3.736 ,5.182 ,10.802 ,1619 ,64.55%,470 ,8742 
MATUMBAMAN,531.562 ,525.598 ,7.369 ,4.098 ,9.613 ,975 ,61.54%,4060 ,24004 
mianmian,322.019 ,263.817 ,2.827 ,6.779 ,12.500 ,104 ,36.54%,192 ,8956 
MidOne,558.192 ,557.877 ,8.407 ,4.005 ,10.370 ,641 ,66.46%,2926 ,24800 
MinDContRoL,450.547 ,420.171 ,5.305 ,4.939 ,11.824 ,1040 ,63.17%,1767 ,15798 
Miracle-,585.100 ,595.084 ,9.179 ,4.227 ,7.993 ,753 ,66.00%,3762 ,25919 
misery,344.131 ,313.807 ,3.307 ,5.110 ,10.880 ,1158 ,58.55%,619 ,8838 
